mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3.0	-1	6/8	3/4	0					firstMeasure	2
2	2	3	3.0	-1	6/8	3/4	0						3
3	3	6	3.0	-1	6/8	3/4	0				line		4
4	4	9	3.0	-1	6/8	3/4	0						5
5	5	12	3.0	-1	6/8	3/4	0						6
6	6	15	3.0	-1	6/8	3/4	0			double	line		7
7	7	18	3.0	-1	3/4	3/4	0						8
8	8	21	3.0	-1	3/4	3/4	0						9
9	9	24	3.0	-1	3/4	3/4	0			double	line		10
10	10	27	3.0	-1	3/4	3/4	0						11
11	11	30	3.0	-1	3/4	3/4	0						12
12	12	33	3.0	-1	3/4	3/4	0				line		13
13	13	36	3.0	-1	6/8	3/4	0						14
14	14	39	3.0	-1	6/8	3/4	0						15
15	15	42	3.0	-1	6/8	3/4	0				line		16
16	16	45	3.0	-1	6/8	3/4	0						17
17	17	48	3.0	-1	6/8	3/4	0						18
18	18	51	3.0	-1	6/8	3/4	0						19
19	19	54	1.5	-1	3/8	3/8	0				line		20
20	20	111/2	3.0	-1	6/8	3/4	0						21
21	21	117/2	3.0	-1	6/8	3/4	0						22
22	22	123/2	1.5	-1	3/8	3/8	0				line		23
23	23	63	3.0	-1	6/8	3/4	0						24
24	24	66	3.0	-1	6/8	3/4	0			double	line		25
25	25	69	3.0	-1	3/4	3/4	0						26
26	26	72	3.0	-1	3/4	3/4	0						27
27	27	75	3.0	-1	3/4	3/4	0						28
28	28	78	3.0	-1	3/4	3/4	0				line		29
29	29	81	3.0	-6	3/4	3/4	0						30
30	30	84	3.0	-6	3/4	3/4	0						31
31	31	87	3.0	-6	3/4	3/4	0				page		32
32	32	90	3.0	-6	3/4	3/4	0						33
33	33	93	3.0	-6	3/4	3/4	0						34
34	34	96	3.0	-6	3/4	3/4	0						35
35	35	99	3.0	-6	3/4	3/4	0				line		36
36	36	102	3.0	-6	3/4	3/4	0			double			37
37	37	105	3.0	-6	3/4	3/4	0						38
38	38	108	3.0	-6	3/4	3/4	0						39
39	39	111	3.0	-6	3/4	3/4	0			double	line		40
40	40	114	3.0	-6	3/4	3/4	0						41
41	41	117	3.0	-6	3/4	3/4	0						42
42	42	120	3.0	-6	3/4	3/4	0			double			43
43	43	123	3.0	-6	3/4	3/4	0				line		44
44	44	126	3.0	-6	3/4	3/4	0						45
45	45	129	3.0	-6	3/4	3/4	0						46
46	46	132	3.0	3	3/4	3/4	0				line		47
47	47	135	3.0	3	3/4	3/4	0						48
48	48	138	3.0	3	3/4	3/4	0			double			49
49	49	141	3.0	0	3/4	3/4	0				page		50
50	50	144	3.0	0	3/4	3/4	0						51
51	51	147	3.0	0	3/4	3/4	0						52
52	52	150	3.0	0	3/4	3/4	0				line		53
53	53	153	3.0	0	3/4	3/4	0						54
54	54	156	3.0	0	3/4	3/4	0				line		55
55	55	159	3.0	0	3/4	3/4	0						56
56	56	162	3.0	0	3/4	3/4	0				line		57
57	57	165	3.0	0	3/4	3/4	0						58
58	58	168	3.0	0	3/4	3/4	0				line		59
59	59	171	3.0	0	3/4	3/4	0						60
60	60	174	3.0	0	3/4	3/4	0				page		61
61	61	177	3.0	0	3/4	3/4	0						62
62	62	180	3.0	0	3/4	3/4	0						63
63	63	183	3.0	0	3/4	3/4	0						64
64	64	186	3.0	0	3/4	3/4	0			double	line		65
65	65	189	3.0	-1	3/4	3/4	0						66
66	66	192	3.0	-1	3/4	3/4	0						67
67	67	195	3.0	-1	3/4	3/4	0						68
68	68	198	3.0	-1	3/4	3/4	0						69
69	69	201	3.0	-1	3/4	3/4	0						70
70	70	204	3.0	-1	3/4	3/4	0				line		71
71	71	207	3.0	-1	3/4	3/4	0						72
72	72	210	3.0	-1	3/4	3/4	0						73
73	73	213	3.0	-1	3/4	3/4	0						74
74	74	216	3.0	-1	3/4	3/4	0						75
75	75	219	3.0	-1	3/4	3/4	0						76
76	76	222	3.0	-1	3/4	3/4	0				line		77
77	77	225	3.0	-1	3/4	3/4	0						78
78	78	228	3.0	-1	3/4	3/4	0						79
79	79	231	3.0	-1	3/4	3/4	0						80
80	80	234	3.0	-1	3/4	3/4	0				line		81
81	81	237	3.0	-1	3/4	3/4	0						82
82	82	240	3.0	-1	3/4	3/4	0						83
83	83	243	3.0	-1	3/4	3/4	0						84
84	84	246	3.0	-1	3/4	3/4	0						85
85	85	249	3.0	-1	3/4	3/4	0					lastMeasure	-1
